polish,english,other,type
oznakować,to mark (once),,perf verb
ozłacać,to gild/engolden (repeated),,verb
ozłocić,to gild/engolden (once),,perf verb
oścież,wide open,,f noun
oślizły,slimy/slippery,,adjective
ośmielać,to encourage (repeated),,verb
ośmielić,to encourage (once),,perf verb
ośmieszać,to ridicule (repeated),,verb
ośmieszyć,to ridicule (once),,perf verb
ośmiornica,octopus,,f noun
ośnieżony,snow-covered/snow-capped,,adjective
ośrodek,centre,Ośrodek leczenia uzależnień,m noun
oświadczać się komuś,to propose to somebody (repeated),,verb
oświadczyny,proposal,,m plural noun
oświadczyć się komuś,to propose to somebody (once),,perf verb
oświetlenie,illumination/lighting,,n noun
ożenić,to get married (to a woman) (once),,perf verb
ożywiać,to revive/enliven (repeated),,verb
ożywienie,animation,,n noun
ożywiony,animated/heated,,adjective
ożywić,to revive/enliven (once),,perf verb
pacha,armpit,,f noun
pachnący,fragrant,,adjective
paciorek,bead,Nie ma paciorka,m noun
paczka,package/parcel,,f noun
pagórek,hill II,Nie ma pagórka,m noun
pajac,puppet,,m noun
pajęczyna,cobweb,,f noun
pakunek,parcel,Nie ma pakunku,m noun
palenisko,hearth,,n noun
paliwo,fuel,,n noun
pamięć,memory,,f noun
pancerz,armour/carapace,,m noun
panować,to reign/control (repeated),Panować nad sobą (To control oneself),verb
pantofel,slipper,Nie ma pantofla,m noun
paplać,to babble/chatter I,,verb
parkiet,parquet or dance floor,Nie ma parkietu,m noun
parowiec,steamer,Nie ma parowca,m noun
parowóz,steam engine,Nie ma parowozu,m noun
partactwo,botch job,,n noun
parter,ground floor,Nie ma partru,m noun
parów,ravine/gully,Nie ma parowu,m noun
pas,belt,Przypiąć się pasami,m noun
pasażer,passenger,,m noun
pasiasty,striped,,adjective
paskudny,horrid/nasty,,adjective
paskudztwo,eyesore/abomination,,n noun
pastwisko,pasture,,n noun
pasujący,matching,,adjective
paszcza,muzzle,,f noun
patelnia,(frying) pan,,m noun
patetyczny,pompous,,adjective
patroszyć,to gut (repeated),,verb
paznokieć,nail,Nie ma paznokcia,m noun
pałka,truncheon/baton,,f noun
państwowy,state/civil/public/national,,adjective
październik,October,,m noun
pechowiec,loser,Nie ma pechowca,m noun
pejzaż,landscape,,m noun
pergamin,parchment,Nie ma pergaminu,m noun
peruka,wig,,f noun
pestka,pip,,f noun
pewność siebie,self-confidence,,f noun
pewny,sure,Pewny siebie (Sure of oneself),adjective
pełnić,to fulfil/perform,,verb
pełzać,to slither (repeated),,verb
pełznąć,to slither (once),,perf verb
piaskownica,sandpit,,f noun
piaszczysty,sandy,,adjective
picie,drinking,,n noun
pieczarka,(a kind of) mushroom,,f noun
pieczeń,roast,,f noun
pieg,freckle,,m noun
piegowaty,freckled,,adjective
piekarnik,oven,,m noun
piekło,hell,,n noun
pielęgniarka,nurse (female),,f noun
pielęgniarz,nurse (male),,m noun
pielęgnować,to nurse or cultivate,,verb
pieniądze,money,Nie ma pieniędzy,m plural noun
pienić się,to froth/foam,,verb
pieniężny,monetary,,adjective
pierwotny,primitive,,adjective
pierwszeństwo,priority/precedence,,n noun
pierzesz (prać),You are laundering,,conjugation
pierś,chest/breast,,f noun
pierścionek,ring,Nie ma pierścionka,m noun
pieszo,on foot,,adverb
pień,tree trunk or stump,Nie ma pnia,m noun
pigułka,pill,,f noun
pilnować,"to mind, to tend to, to watch over, to look after",Policjant pilnuje porządku,verb
pilny,diligent/conscientious,,adjective
piorę (prać),I am laundering,,conjugation
pisemny,written,,adjective
pisnąć,to squeal/squeak (once),,perf verb
pistolet,pistol,Nie ma pistoletu,m noun
piszczeć,to squeal/squeak (repeated),,verb
piwnica,cellar,,f noun
pięć milionów,five million,,numeral
pięć tysięcy,five thousand,,numeral
pięść,fist,,f noun
piła,saw,,f noun
piłkarz,football player,,m noun
placówka,(out)post or institution,,f noun
plajtować,to go bust (repeated),,verb
plakat,poster,Nie ma plakatu,m noun
plama,spot/stain,,f noun
plamić,to stain/soil (repeated),,verb
plecy,back,,f pl noun
plemię,tribe,,n noun
plotkować,to gossip,,verb
plądrować,to plunder/pillage (repeated),,verb
plątanina,tangle,,f noun
pnącze,climber/creeper/vine,,n noun
po kryjomu,in secret,,phrase
pobicie,beating,,n noun
pobierać,to download (repeated),,verb
pobierać się,to get married (repeated),,verb
pobliski,nearby,,adjective
pobocze,verge/shoulder,,n noun
pobrać,to download (once),,perf verb
pobrać się,to get married (once),,perf verb
pobyt,stay,Nie ma pobytu,m noun
pochlipywać,to snivel,,verb
pochodnia,torch,,f noun
pochwalać coś,to approve of something,,verb
pochwalić się,to boast (once),,perf verb
pochwała,praise/commendation,,f noun
pochód,procession,Nie ma pochodu,m noun
pochłaniać,to absorb (repeated),,verb
pochłonąć,to absorb (once),,perf verb
pociecha,comfort/consolation/solace/offspring,,f noun
pocierać,to rub (repeated),,verb
pocisk,missile/projectile,Nie ma pocisku,m noun
pocić się,to sweat/perspire,,verb
poczekalnia,waiting room,,f noun
pocztówka,postcard,,f noun
poczucie,feeling/sense,On nie ma poczucia winy,n noun
początek,beginning,Stoje na początku (I'm standing at the start),m noun
początkowo,initially,,adverb
poczęstować,to offer (once),,perf verb
poczęstunek,food and drinks,Nie ma poczęstunku,m noun
podanie,application/request,,n noun
podarować,to gift (once),,perf verb
podarty,torn/tattered/ripped,,adjective
podatek,tax,,m noun
podbijać,to conquer/subdue (repeated),,verb
podbić,to conquer/subdue (once),,perf verb
podbrzusze,underbelly,,n noun
podchodzić,to approach (repeated),,verb
podcinać,to slash (repeated),,verb
podciąć,to slash (once),,perf verb
poddawać się,to give up/in (repeated),,verb
poddać się,to give up/in (once),,perf verb
podejrzany,suspicious,,adjective
podejrzenie,suspicion,,n noun
podejrzewać,to suspect,Policja podejrzewa trzy osoby,verb
podejść,to approach (once),,perf verb
podeptać,to tread/trample (once),,verb
poderżnąć komuś gardło,to slit someone's throat (once),,perf verb
podeszwa,sole,,f noun
podetniesz (podciąć),You will slash,,conjugation
podetnę (podciąć),I will slash,,conjugation
podgrzać,to (re)heat (once),,perf verb
podgrzejesz (podgrzać),You will (re)heat,,conjugation
podgrzeję (podgrzać),I will (re)heat,,conjugation
podgrzewać,to (re)heat (repeated),,verb
podjęcie,undertaking,Przeddzień podjęcia pracy,n noun
podkowa,horseshoe,,f noun
podkreślać,to underline (repeated),,verb
podkreślić,to underline (once),,perf verb
podniebienie,palate,,n noun
podniecenie,excitement/arousal,,n noun
podniesiesz (podnieść),You will pick up,,conjugation
podnieś (podnieść),Pick up! (once),,imperative
podnieść,to pick up (once),,perf verb
podniosę (podnieść),I will pick up,,conjugation
podnosisz (podnosić),You are picking up,,conjugation
podnosić,to pick up (repeated),,verb
podnoszę (podnosić),I am picking up,,conjugation
podnoś (podnosić),Pick up! (repeated),,imperative
podnóże,foot/base,U podnóża góry,n noun
podobieństwo,similarity,,n noun
podobno,reportedly/supposedly/apparently,,adverb
podobny,similar,,adjective
podpalać,to set fire to (repeated),,verb
podpalić,to set fire to (once),,perf verb
podporządkować się komuś,to submit to somebody (once),,perf verb
podporządkowywać się komuś,to submit to somebody (repeated),,verb
podrażniać,to physically irritate (repeated),,verb
podrażnić,to physically irritate (once),,perf verb
podreptać,to toddle (once),,perf verb
podrzynać komuś gardło,to slit someone's throat (repeated),,verb
podrzędny,second-rate,,adjective
podróżnik,traveller,,m noun
podróżowanie,travelling,,n noun
podręcznik,textbook,,m noun
podstawa,base/basis/ground,,f noun
podstawowy,basic,,adjective
podstęp,trick/ruse,Nie ma podstępu,m noun
podsumowanie,summing-up/summary,,n noun
podszywać się pod kogoś,to impersonate somebody (repeated),,verb
podszyć się pod kogoś,to impersonate somebody (once),,perf verb
podupadać,to deteriorate (repeated),,verb
podupaść,to deteriorate (once),,perf verb
podwieczorek,(afternoon) tea,Nie ma podwieczorku,m noun
podwyżka,pay rise,,f noun
podwójny,double,,adjective
podwórko,little backyard,,n noun
podwórze,backyard,,n noun
podziać się,to be mislaid,,verb
podział,division,Nie ma podziału,m noun
podzielić się,to share/divide (once),,perf verb
podziemie,basement/underground,,n noun
podziemny,underground,,adjective
podziw,admiration,Nie ma podziwu,m noun
podziwiać,to admire,,verb
podążać,to follow (repeated),,verb
podążyć,to follow (once),,perf verb
podżegać,to incite,,verb
poezja,poetry,,f noun
pofrunąć,to fly (as an animal) (once),,perf verb
pogarda,contempt/scorn,,f noun
pogarszać,to worsen (repeated),,verb
pogawędzić,to chat (once),,perf verb
pogięty,twisted (out of shape),,adjective
pogląd,opinion/view/outlook,Nie ma poglądu,m noun
pognać,to rush (once),,perf verb
pogodny,sunny/cheerful,,adjective
pogorszyć,to worsen (once),,perf verb
pogotowie,emergency service or ambulance,,n noun
pogoń,chase/pursuit,,f noun
pogromca,conqueror (male),,m noun
pogromczyni,conqueror (female),,f noun
pogrzeb,funeral,Nie ma pogrzebu,m noun
pogrzebacz,poker,,m noun
pogrzebać,to bury II (once),,perf verb
pogrążać się w czymś,to be immersed in something (repeated),,verb
pogrążyć się w czymś,to be immersed in something (once),,perf verb
pogłaskać,to stroke (once),,perf verb
pogłębiać,to deepen (repeated),,verb
pogłębić,to deepen (once),,perf verb
pohasać,to gambol (once),,perf verb
poinstruować,to instruct (once),,perf verb
pojawiać się,"to appear, to show up (repeated)",,perf verb
pojawić się,"to appear, to show up (once)",,perf verb
pojednawczy,conciliatory,,adjective
pojedynczy,singular,,adjective
pojemnik,container,,m noun
pojemność,capacity,,f noun
pojmować,to comprehend (repeated),,verb
pojąć,to comprehend (once),,perf verb
pojęcie,concept/idea/notion,,n noun
pokazać,to show (once),,perf verb
pokazujesz (pokazywać),You are showing,,conjugation
pokazuję (pokazywać),I am showing,,conjugation
pokazywać,to show (repeated),,verb
pokaźny,substantial/considerable,,adjective
pokażesz (pokazać),You will show,,conjugation
pokażę (pokazać),I will show,,conjugation
pokojówka,maid,,f noun
pokolenie,generation,,n noun
pokonanie,defeat,,n noun
pokonać,to defeat/beat (once),,perf verb
pokonywać,to defeat/beat (repeated),,verb
pokrewny,related/kindred,,adjective
pokrowiec,case/cover,Nie ma pokrowca,m noun
pokrywka,cover,,f noun
pokrzepiać,to fortify/strengthen/refresh (repeated),,verb
pokrzepić,to fortify/strengthen/refresh (once),,perf verb
pokuta,penance,,f noun
pokuśtykać,to limp/hobble (once),,perf verb
pokój,room/peace,,m noun
pokąsać,to bite/sting (once),,perf verb
pokład,deck,Nie ma pokładu,m noun
pokłonić,to bow (once),,perf verb
pokłusować,to trot/amble (once),,perf verb
pokłócić się,to argue (once),,perf verb
polana,glade,,f noun
polać,to pour (once),,perf verb
polecać,to recommend (repeated),,verb
polecieć,to fly (once),,perf verb
polecić,to recommend (once),,perf verb
polecony,registered,Przesyłka polecona,adjective
polegać,to rely (on),,verb
polej (polać),Pour! (once),,imperative
polejesz (polać),You will pour,,conjugation
poleję (polać),I will pour,,conjugation
polewać,to pour (repeated),,verb
policzyć,to count (once),,perf verb
politura,polish,,f noun
polować,to hunt (repeated),,verb
pomagaj (pomagać),Help! (repeated),,imperative
pomagam (pomagać),I am helping,,conjugation
pomaganie,helping,,n noun
pomagasz (pomagać),You are helping,,conjugation
pomagać,to help (repeated),,verb
pomarszczony,wrinkled/shrivelled,,adjective
pomieszczenie,room,,n noun
pomijać,to skip/omit (repeated),,verb
pomimo,despite,,preposition
pominąć,to skip/omit (once),,perf verb
pomnik,monument,Nie ma pomnika,m noun
pomnożyć,to multiply (once),,perf verb
pomocnica,helper (female),,f noun
pomocnik,helper (male),,m noun
pomogę (pomóc),I will help,,conjugation
pomożesz (pomóc),You will help,,conjugation
pomruk,murmur/rumble,Nie ma pomruku,m noun
pomylić się,to make mistakes (once),,perf verb
pomysłowość,ingenuity/resourcefulness,,f noun
pomyłka,error/mistake,,f noun
pomyślany,conceived,,adjective
pomyślny,successful/auspicious,,adjective
pomóc,to help (once),,perf verb
pomóż (pomóc),Help! (once),,imperative
ponadto,furthermore,,adverb
ponawiać,to repeat/recur (repeated),,verb
ponieważ,so/therefore,Śpię ponieważ dziś nie pracuję,conjunction
poniewierać,to mistreat/mishandle,,verb
ponieść,to incur (once),,perf verb
poniżający,humiliating,,adjective
poniżenie,humiliation,,n noun
poniższy,following/below,Proszę przeczytać poniższy tekst,adjective
ponosić,to incur (repeated),,verb
ponowić,to repeat/recur (once),,perf verb
ponownie,again,,adverb
ponoć,seemingly/supposedly,,adverb
ponury,gloomy/grim/dreary,,adjective
ponętny,alluring,,adjective
popas,bait I,,m noun
popchnąć,to push (once),,perf verb
popełniać,to commit (e.g. a crime) (repeated),,verb
popełnić,to commit (e.g. a crime) (once),,perf verb
popielniczka,ashtray,,f noun
popierać,"to back up, to second (repeated)",,verb
popisać się,to show off (once),,perf verb
popisywać się,to show off (repeated),,verb
popiół,ash,Nie ma popiołu,m noun
poplamiony,stained/soiled,,adjective
poplamić,to stain/soil (once),,perf verb
poprawiać,to correct (repeated),,verb
poprawić,to correct (once),,perf verb
poprawka,correction,,f noun
poprawnie,correctly/properly,,adverb
poprzedni,previous,,adjective
poprzeć,"to back up, to second (once)",,perf verb
popychać,to push (repeated),,verb
popyt,demand,Nie ma popytu,m noun
popłoch,panic,Nie ma popłochu,m noun
poranny,morning,,adjective
porastać,to overgrow (repeated),,verb
porażka,failure,Ta podróż to porażka! (This journey is a failure!),f noun
porosnąć,to overgrow (once),,perf verb
porowaty,porous,,adjective
porozumienie,agreement/arrangement/understanding,,n noun
porozumiewawczo,knowingly,,adverb
porozumiewać się,to communicate (repeated),,verb
porozumieć się,to communicate (once),,perf verb
poruszenie,agitation/commotion,,n noun
porwany,kidnapped,,adjective
porwać,to kidnap (once),,perf verb
porwiesz (porwać),You will kidnap,,conjugation
porwę (porwać),I will kidnap,,conjugation
poryw,gust,Nie ma porywu,m noun
porywacz,kidnapper,,m noun
porywać,to kidnap (repeated),,verb
porzucać,to abandon (repeated),,verb
porzucić,to abandon (once),,perf verb
porządek,order,,m noun
porządny,neat/tidy,,adjective
poród,delivery/childbirth,Nie ma porodu,m noun
porównanie,comparison,,n noun
porównawczy,comparative,,adjective
porównać,to compare/equate (once),,perf verb
porównywać,to compare/equate (repeated),,verb
poręcz,handrail/railing/banister,,f noun
posada,job/position,,f noun
posag,dowry,Nie ma posagu,m noun
posesja,(real) estate,,f noun
posiadać,to own/possess,,verb
